Nr,Titel,Beschrieb,Ort,OrtLink,Jahr,Akteurinnen,Themenfelder,FinanzielleUnterstuetzung,Laufend,Link1,Link2
1,Ferien auf dem Bauernhof,"Auf der Plattform werden erlebnisreiche Ferien auf dem Bauernhof vermittelt und Einblicke in das Hofleben gewährt. Vor über 30 Jahren startete Hans Wespi mit nur vier Bauernhöfen die Buchungszentrale ""Ferien auf dem Bauernhof"". Heute zählt der Verein stolze 100 Höfe zu ihrem Angebot und alle Höfe erfüllen die Gütesiegelkriterien für echte Bauernhofferien. Die Präsidentin Rita Barth leitet den Verein und hat das Ziel die Angebote zusammenfassend auf der Homepage zu vermarkten. ",Schweizweit,https://s.geo.admin.ch/87c58a7aac,1989,Unternehmen,"Tourismus, Landwirtschaft, Beherbergung", ,ja,https://www.bauernhof-ferien.ch/, 
2,Qualitäts-Programm des Schweizer Tourismus,"Seit 20 Jahren wird das Qualitätsgütesiegel des Schweizer Tourismus erfolgreich angewendet. Das Forschungsinstitut für Freizeit und Tourismus und die Frey Akademie entwickelten in Zusammenarbeit das Schulungs- und Zertifizierungssystem, welches zum Ziel hat die Qualität in touristischen Betrieben zu verbessern. Das Qualitäts-Programm zeichnet Betriebe aus, welche ihre Qualität stets verbessern wollen und bereit sind, ihr Bestes für den Gast zu geben.",Schweizweit,https://s.geo.admin.ch/87c58a7aac,1999,"Bildungs- und Forschungsinstitutionen, Verbände",Tourismus,Innotour,ja,https://www.stv-fst.ch/de/qualitaets-labels/qualitaets-programm, 
3,Veloland Schweiz,"Das Veloland Schweiz wurde 1998 eröffnet und die Stiftung Veloland Schweiz wurde 2008 in die Stiftung SchweizMobil umgewandelt. Veloland Schweiz wird unterstützt von Bund, Kantonen, Tourismus, Verkehr und Sport. Das Ziel der Stiftung ist es, ein angenehmes Velowandern zu ermöglichen und den Velofahrer*innen die schönsten Routen der Schweiz zu zeigen. Veloland Schweiz bietet eine Auswahl an attraktiven Routen, verständliche Signalisationen und touristische Dienstleistungen an.  ",Schweizweit,https://s.geo.admin.ch/87c58a7aac,1998,"Privatpersonen, Verbände","Tourismus, Mobilität, Freizeitaktivität",Innotour,ja,https://www.schweizmobil.ch/de/veloland.html, 
4,Abgasfreie Mobilität im Alpenraum,"Der Verein «Swiss Alps 3000» setzte sich tatkräftig für eine abgasfreie Mobilität im Alpenraum ein. Dazu hatte Initiant Ulo Gertsch sich vorgenommen ein Pistenbully zu einem wasserstoffbetriebenen Pistenfahrzeug umzubauen. Grund dazu war, dass die Pistenfahrzeuge in einem sehr sensiblen Umfeld unterwegs sind und dort Schadstoffe ausstossen. In einer Zusammenarbeit mit Bergbahnbetrieben, Wasserkraftwirtschaft, Fahrzeugindustrie und H2-Forschung sollte diese Idee umgesetzt werden.",Grindelwald,https://s.geo.admin.ch/87c58b4be8,2003,"Bildungs- und Forschungsinstitutionen, Vereine, Unternehmen","Mobilität, Ökologie", ,nein,,
5,Dienstleistungszentrum Saanenmöser,"Die vier Partner Gstaad Saanenland Tourismus, Golden Pass Services,  Bergbahnen Saanenland-Simmental AG und die Schweizerische Post haben gemeinsam das Dienstleistungszentrum Saanenmöser gegründet. Dank dieser Zusammenarbeit konnte die Poststelle wieder eröffnet und der Bahnhof wieder personell besetzt werden. Das Projekt schaffte Saanenmöser ein funktionsfähiges Service Public-Angebot, ohne bei den einzelnen Partnern wesentliche zusätzliche Kosten zu erzeugen.",Saanenmöser,https://s.geo.admin.ch/87c58b7aff,2003,"Tourismusorganisation, Unternehmen","Öffentliche Dienstleistungen, Gemeindeentwicklung", ,nein,, 
6,kuhleasing.ch,Helga und Paul Wyler haben vor über 35 Jahren gemeinsam kuhleasing.ch gegründet. Heute hat die Tochter Iris das Business übernommen und least den Kund*innen eine Kuh für einen Sommer. Die Kund*innen erhalten zwischen 70-120 kg Käse pro Kuh und leisten einen Tag Arbeit auf der Alp. Das Ziel ist den Leuten das Leben auf der Alp näherzubringen und so das Verständnis zwischen Stadt- und Bergbevölkerung zu stärken. Es zeigt die Bedeutung der Berglandwirtschaft auf und sichert so die Erhaltung für Nachfolgegenerationen.,Ringgenberg,https://s.geo.admin.ch/87c58babd1,1976,Privatpersonen,"Alternatives Produzieren & Konsumieren, Landwirtschaft, Alpwirtschaft, lokale Produkte", ,ja,https://www.kuhleasing.ch/, 
7,ViaStoria Kulturwege Schweiz,"Die Organisation ViaStoria, welche eine Stiftung für Verkehrsgeschichte ist, hat das Projekt Kulturwege Schweiz gestartet. Es erschliesst auf zwölf Haupt- und 300 regionalen Routen Zeugen der Verkehrsgeschichte und Sehenswürdigkeiten in den Kulturlandschaften der Schweiz. Kulturwege Schweiz fördert die Erhaltung und nachhaltige Entwicklung der Natur- und Kulturlandschaft und vernetzt Angebote aus dem Tourismus, der Landwirtschaft, dem Langsamverkehr und der Bildung. Die Verknüpfung von Schutz- und Nutzungszielen ermöglicht gleichermassen neue Erlebnisse und regionale Wertschöpfung.",Schweizweit,https://s.geo.admin.ch/87c58a7aac,2003,"Tourismusorganisation, Stiftungen, Öffentlicher Sektor","Tourismus, Mobilität, Freizeitaktivität, Kultur","Regio Plus, Innotour",ja,https://www.viastoria.ch/index.php?id=54, https://www.seco.admin.ch/seco/de/home/Standortfoerderung/Tourismuspolitik/Innotour/Gefoerderte_Projekte/2003_2007.html
8,Heiratsstandorte im Berner Oberland,"Das Amt für Bevölkerungsdienste stellt in Zusammenarbeit mit Tourismusbetrieben exklusive externe Heiratsstandorte als Trauungslokale im Berner Oberland zur Verfügung stellen. Dazu gehören Lokale wie das Schloss Schadau, Oberhofen, Spiez oder das Grandhotel Giessbach. Man hat sich damit zum Ziel gesetzt ein wachsendes gesellschaftliches Bedürfnis zu befriedigen und eine Zusammenarbeit mit Tourismusbetrieben und lokalen Unternehmen zu fördern. ",Berner Oberland,https://s.geo.admin.ch/87c58c40a0,2005,"Unternehmen, Öffentlicher Sektor",Öffentliche Dienstleistungen, ,ja,https://www.pom.be.ch/pom/de/index/zivilstand-pass-id/zivilstand/externe_zeremonielokale.html, 
9,Kulturlandschaftspreis Berner Oberland-Ost ,"Seit 2005 verleihen die Tourismusdestinationen Interlaken Tourismus und Jungfrau Region Tourismus gemeinsam mit der Regionalkonferenz jährlich den Kulturlandschaftspreis Oberland-Ost. Der Preis wird an die Bewirtschafter*innen besonders wertvoller Kulturlandschaften im östlichen Berner Oberland vergeben. Das Ziel ist, dass die Bedeutung von Landwirtschaft und ihre Pflege der Bevölkerung aufgezeigt und sie so sensibilisiert wird. Die Leistung der Landwirt*innen soll dadurch mehr Wertschätzung erhalten.",Berner Oberland Ost,https://s.geo.admin.ch/87c55a9683,2004,"Tourismusorganisation, Öffentlicher Sektor","Landwirtschaft, Alpwirtschaft, Kultur", ,ja,https://www.kulturlandschaftspreis.ch/, 
10,Nebellos.ch,"Lenk-Simmental Tourismus erarbeitete gemeinsam mit der ELVIA Reiseversicherung ein Paket, in dem man sich gegen Nebel versichern kann. Sollte man also in der Lenk Ferien machen und dabei im Nebel liegen, so erhält man den Preis für Ski-Abo oder Hotelzimmer zurückerstattet. Das Ziel ist eine gästefreundliche Entschädigung zu bieten und der Geschäftsführer von Lenk-Simmental Tourismus ist sich sicher, dass die Nebellos-Versicherung nur sehr selten in Anspruch genommen werden muss.",Lenk,https://s.geo.admin.ch/87c58ca33d,2008,"Tourismusorganisation, Unternehmen",Tourismus, ,ja,https://lenk-simmental.ch/footer/agb-annulierungskostenschutz/, 
