Nr;Titel;Beschrieb;Ort;OrtLink;Jahr;Akteurinnen;Themenfelder;FinanzielleUnterstuetzung;Laufend;Link1;Link2
1;Ferien auf dem Bauernhof;"The platform collects offerings for farm holidays. More than 30 years ago Hans Wespi started  ""Ferien auf dem Bauernhof"" with only four farms. Today, the association counts 100 farms and all farms meet the quality seal criteria for farm holidays. The president Rita Barth leads the association and has the goal to market the offers on the homepage. ";Switzerland ;https://s.geo.admin.ch/87c58a7aac;1989;Companies;Tourism, Agriculture, Accommodation; ;Yes;https://www.bauernhof-ferien.ch/; 
2;Qualitäts-Programm des Schweizer Tourismus;The Swiss Tourism Quality Label has been successfully applied for 20 years. The Research Institute for Leisure and Tourism and the Frey Academy developed in cooperation the training and certification system, which aims to improve the quality in tourism enterprises. The quality program distinguishes businesses that want to improve their quality continuously and are prepared to give their best for the guest.;Switzerland;https://s.geo.admin.ch/87c58a7aac;1999;Educational and research institutions, Associations;Tourism;Innotour;Yes;https://www.stv-fst.ch/de/qualitaets-labels/qualitaets-programm; 
3;Veloland Schweiz;Veloland Switzerland was opened in 1998 and the foundation was transformed into the SwitzerlandMobility Foundation in 2008. The initiative is supported by the federal government, cantons, tourism, transport and sport. The aim of the foundation is to make cycling pleasant and to show cyclists the most beautiful routes in Switzerland. Cycling in Switzerland offers a selection of attractive routes, clear signposting and tourist services.  ;Switzerland ;https://s.geo.admin.ch/87c58a7aac;1998;Individuals, Associations;Tourism, Mobility, Leisure activities;Innotour;Yes;https://www.schweizmobil.ch/de/veloland.html; 
4;Abgasfreie Mobilität im Alpenraum;"The ""Swiss Alps 3000"" association is actively committed to emission-free mobility in the Alpine region. To this end, initiator Ulo Gertsch had planned to convert a snow groomer into a hydrogen-powered piste vehicle. The reason for this was that the piste groomers are used in a very sensitive environment and emit pollutants. This idea was to be implemented in cooperation with mountain railway companies, hydroelectric power industry, vehicle industry and H2 research.";Grindelwald;https://s.geo.admin.ch/87c58b4be8;2003;Educational and research institutions, Clubs, Companies;Mobility, Ecology; ;No;;
5;Dienstleistungszentrum Saanenmöser;The four partners Gstaad Saanenland Tourism, Golden Pass Services, Bergbahnen Saanenland-Simmental AG and Swiss Post jointly founded the Saanenmöser Service Centre. Thanks to this cooperation, the post office was able to reopen and the station was staffed again. The project provided Saanenmöser with a functioning public service offering without generating significant additional costs for the individual partners.;Saanenmöser;https://s.geo.admin.ch/87c58b7aff;2003;Tourism organisation, Companies;Public services, Community development; ;No;; 
6;kuhleasing.ch;Helga and Paul Wyler founded kuhleasing.ch over 35 years ago. Today, their daughter Iris has taken over the business and leases a cow to customers for a summer. The customers receive between 70-120 kg of cheese per cow and work one day on the alp. The aim is to give people an understanding of life on the alp and thus strengthen the understanding between the urban and the mountain population. It shows the importance of mountain farming and thus ensures its preservation for future generations.;Ringgenberg;https://s.geo.admin.ch/87c58babd1;1976;Individuals;Alternative production & consumption, Agriculture, Alpine farming, Local products; ;Yes;https://www.kuhleasing.ch/; 
7;ViaStoria Kulturwege Schweiz;The organisation ViaStoria, which is a foundation for transport history, has launched the project Cultural Routes Switzerland. On twelve main and 300 regional routes, it provides access to transportation history and sights in Switzerland. Cultural Routes Switzerland promotes the preservation and sustainable development of the natural and cultural landscape and links offers from tourism, agriculture, non-motorized traffic and education. Linking protection and use objectives enables new experiences and regional value creation.;Switzerland ;https://s.geo.admin.ch/87c58a7aac;2003;Tourism organisation, Foundations, Public sector;Tourism, Mobility, Leisure activities, Culture;Regio Plus, Innotour;Yes;https://www.viastoria.ch/index.php?id=54; https://www.seco.admin.ch/seco/de/home/Standortfoerderung/Tourismuspolitik/Innotour/Gefoerderte_Projekte/2003_2007.html
8;Heiratsstandorte im Berner Oberland;Local jurisdictions, in cooperation with tourism businesses, provide exclusive external marriage locations as wedding venues in the Bernese Oberland. These include locations such as Schadau Castle, Oberhofen, Spiez or the Grandhotel Giessbach. The aim is to satisfy a growing social need and to promote cooperation with tourism businesses and local companies. ;Bernese Oberland;https://s.geo.admin.ch/87c58c40a0;2005;Companies, Public sector;Public services; ;Yes;https://www.pom.be.ch/pom/de/index/zivilstand-pass-id/zivilstand/externe_zeremonielokale.html; 
9;Kulturlandschaftspreis Berner Oberland-Ost ;Since 2005, the tourism destinations Interlaken Tourism and Jungfrau Region Tourism have been awarding this annual prize together with the regional development authority. The prize is awarded to the managers of particularly valuable cultural landscapes in the eastern Bernese Oberland. The aim is to highlight the importance of agriculture and its maintenance to the population and thus raise awareness. The work of the farmers should thus be more highly valued. ;Bernese Oberland East;https://s.geo.admin.ch/87c55a9683;2004;Tourism organisation, Public sector;Agriculture, Alpine economy, Culture; ;Yes;https://www.kulturlandschaftspreis.ch/; 
10;Nebellos.ch;Together with ELVIA Reiseversicherung, Lenk-Simmental Tourism has developed an insurance package in which one can insure your holiday against fog. If one travels to Lenk and finds him/herself in the fog, the price of the ski pass or hotel room will be refunded. The aim is to offer a guest-friendly compensation and the manager of Lenk-Simmental Tourism is sure that  insurance benefits will be claimed very rarely.;Lenk;https://s.geo.admin.ch/87c58ca33d;2008;Tourism organisation, Companies;Tourism; ;Yes;https://lenk-simmental.ch/footer/agb-annulierungskostenschutz/; 
11;MiniMuseumMürren;The MiniMuseumMürren association was founded in 2008 to enable visitors and residents to learn about the history of Mürren. The aim of the association is to enhance the public space by reviving shop windows and to create a link to the present. New exhibitions are placed in the shop windows every year, thus creating a connection with already existing local spaces.;Mürren;https://s.geo.admin.ch/87c58d5f33;2008;Individuals;Tourism, Culture; ;Yes;http://www.minimuseummuerren.ch/; 
12;Schnuppercamp für die Hotellerie und Gastronomie;The taster camp gives young people insights into the world of the hotel, catering and tourism industry. The current activities in the Valais and Bernese Oberland are supported by HotellerieSuisse, the respective cantonal regional associations of HotellerieSuisse and the cantons. Companies in mountain and tourism regions sometimes have difficulty finding apprentices. Participating young people from all over Switzerland not only have the opportunity to get to know the professions in the industry, but they also experience how attractive it is to live and work in a tourism region.;Gstaad;https://s.geo.admin.ch/87c58d9190;2006;Tourism organisation, Companies, Associations;Tourism, Professionals, Accommodation, Gastronomy; ;Yes;https://www.hotelleriesuisse.ch/de/bildung-und-fachkraefte/berufe-und-ausbildung/erster-einblick/schnuppern; 
13;hotelpower.ch ;Hotelleriesuisse is responsible for the hotelpower.ch project, which was developed in 2003 by various players in the hotel industry. Due to rising energy prices and climate change, the project aims to save energy. It aims to sensitize the industry to energy efficiency measures and thus reduce CO2 emissions and costs. As many companies from the hotel industry as possible are to be included in the target agreements.;Switzerland ;https://s.geo.admin.ch/87c58a7aac;2003;Educational and research institutions, Companies, Associations;Tourism, Accommodation, Energy; ;Yes;http://www.hotelpower.ch/;  
14;Hotelarchiv Schweiz;The foundation was founded in 2008 by hotelleriesuisse and private actors. An archive was set up to collect and safeguard the origins of hotel and tourism history. The objects should be available to the public and serve as a source for research and education. Hotelarchiv thinks that it is important to understand history in order to shape the future. Thus, hotel and tourism history helps shape innovations for the future.;Switzerland ;https://s.geo.admin.ch/87c58a7aac;2008;Individuals, Associations;Tourism, Accommodation, Culture;Innotour;Yes;http://hotelarchiv.ch/; 
15;ViaPostaAlpina;The ViaPostaAlpina route was founded in collaboration between Kulturwege Schweiz and PostBus AG. It is a cultural trail through the Swiss Alps over the Grimsel, Nufenen, Gotthard and Susten passes. As the landscape passes by, historical insights into the development of the postal bus are provided during the journey. The bus journey is combined with hikes along historic paths and can be completed in six daily stages. ;Switzerland ;https://s.geo.admin.ch/87c58a7aac;2012;Companies, Foundations;Tourism, Mobility, Leisure activities, Culture; ;Yes;http://www.kulturwege-schweiz.ch/via-routen/viapostaalpina.html; 
16;Bus alpin;Since 2005, Bus alpin has been active in regions where there are no or only poor public transport connections. However, many well-known destinations are located exactly in such regions. These destinations often suffer from the increasing motorized traffic. Bus alpin has the goal to expand the public transport services to such places and supports already 17 regions. Partners of the association are PostBus, the Swiss Parks Network and many more.;Switzerland ;https://s.geo.admin.ch/87c58a7aac;2005;Clubs, Companies, Public sector, Associations;Tourism, Mobility, Ecology;Swiss mountain aid;Yes;https://busalpin.ch/; 
17;Ferien – zugänglich für alle;"In 2013, the project ""Holidays - accessible for all"" was launched as a collaboration between Swiss Youth Hostels and the Denk an mich foundation. The aim was to make the Swiss youth hostels' services barrier-free, from their Internet presence to their homes. In doing so, they wanted to send a signal to the tourism industry and draw attention to the issue of accessibility. It should be possible to copy and imitate the project. ";Switzerland ;https://s.geo.admin.ch/87c58a7aac;2013;Companies, Foundations, Public sector;Tourism, Mobility, Accommodation, Inclusion; ;No;https://www.youthhostel.ch/de/hindernisfrei/hindernisfrei/; 
18;Swiss Tavolata ;"Swiss Tavolata was created after the success of the TV show ""Landfrauenküche"" (countrywomen's cuisine) and enables people to taste traditional Swiss cuisine at home with farmers and countrywomen. After a tour of the farm, a dish is prepared using local products, at least 80% of which are from the farm itself. The aim of Swiss Tavolata is to combine agriculture and tourism and thus provide an additional income for the farmers. ";Switzerland ;https://s.geo.admin.ch/87c58a7aac;2013;Companies, Associations;Tourism, Agriculture, Gastronomy;QuNaV, Innotour;Yes;https://www.swisstavolata.ch/; 
19;Sanierung ist die halbe Miete;"The municipality of Adelboden and Adelboden Tourism have jointly launched the ""Renovation is half the battle"" project. The project creates incentives for second home owners to renovate their aging properties. The municipality is offering 20 hours of consultancy services for the refurbishment, on condition that local businesses are taken into account during construction and that the apartment is subsequently rented out for at least 3 years. The aim is to increase the number of overnight stays, to support local business and thus also to increase the tax income of the municipality. ";Adelboden;https://s.geo.admin.ch/87c58e1921;2016;Tourism organisation, Companies, Public sector;Tourism, Construction and timber industry, Accommodation; ;Yes;https://www.adelboden.ch/de/s/sanierung-halbe-miete; 
20;Made in Bern;"Under the name ""Made in Bern"" the BE! Tourismus AG 2012 was founded to create a self-confident marketing presence for the Tourism Canton of Bern. The Canton of Berne and the tourist destinations of Berne founded the AG with the long-term goal of increasing the added value of tourism and becoming the No. 1 in tourism in Switzerland. This is to be achieved in part by increasing the visibility of tourism and strengthening the exchange between partners. ";Canton of Bern;https://s.geo.admin.ch/87c58e4341;2012;Tourism organisation, Companies, Public sector;Tourism, Marketing; ;Yes;https://www.madeinbern.com/de/home; 
